�������,"���, �","���, �","���, �","���, ����",
Акула катран,"
19.9 ","
7.0 ","
0.0 ","
142 "
Акульи плавники,"
21.0 ","
4.8 ","
0.0 ","
130 "
Амур белый,"
18.6 ","
5.3 ","
0.0 ","
134 "
Амур чёрный,"
17.5 ","
2.0 ","
0.0 ","
88 "
Анчоус атлантический,"
20.1 ","
6.1 ","
0.0 ","
135 "
Анчоусная паста,"
26.0 ","
16.0 ","
4.0 ","
280 "
Анчоусы консервированные,"
20.1 ","
6.1 ","
0.0 ","
135 "
Аргентина,"
17.6 ","
2.0 ","
0.0 ","
88 "
Барабулька (султанка),"
19.4 ","
3.8 ","
0.0 ","
117 "
Белоглазка,"
17.5 ","
2.0 ","
0.0 ","
88 "
Белорыбица,"
17.5 ","
2.0 ","
0.0 ","
88 "
Белуга бланшированная,"
23.3 ","
15.6 ","
0.0 ","
234 "
Белуга свежая,"
21.0 ","
0.7 ","
0.0 ","
147 "
Белуга сушеная,"
69.9 ","
5.3 ","
0.0 ","
327 "
Бельдюга,"
17.5 ","
2.0 ","
0.0 ","
88 "
Берикс,"
20.3 ","
0.8 ","
0.0 ","
88 "
Бестер,"
21.0 ","
0.7 ","
0.0 ","
147 "
Бопс (Полосатик),"
15.3 ","
1.5 ","
0.0 ","
79 "
Бротола,"
19.4 ","
1.6 ","
0.0 ","
92 "
Бычки в томатном соусе,"
17.5 ","
2.0 ","
0.0 ","
88 "
Бычок,"
17.5 ","
2.0 ","
0.0 ","
88 "
Венерка,"
14.7 ","
1.0 ","
3.6 ","
86 "
Визига,"
1.2 ","
0.1 ","
6.0 ","
28 "
Вобла вяленая,"
46.4 ","
5.5 ","
0.0 ","
235 "
Вобла копчёная,"
31.1 ","
6.3 ","
0.0 ","
181 "
Вобла свежая,"
18.0 ","
2.8 ","
0.0 ","
97 "
Водоросли бурые,"
1.7 ","
0.6 ","
8.3 ","
43 "
Водоросли зелёные,"
1.5 ","
0.0 ","
5.0 ","
25 "
Водоросли красные,"
1.5 ","
0.0 ","
5.0 ","
25 "
Водоросль вакаме,"
3.0 ","
0.6 ","
8.6 ","
45 "
Водоросль далс,"
1.5 ","
0.0 ","
5.0 ","
25 "
Водоросль ирландский мох (карраген),"
1.5 ","
0.2 ","
11.0 ","
49 "
Водоросль кантен,"
0.5 ","
0.0 ","
6.3 ","
26 "
Водоросль комбу,"
8.3 ","
8.3 ","
10.0 ","
77 "
Водоросль лиму,"
1.7 ","
0.2 ","
4.3 ","
25 "
Водоросль нори,"
46.1 ","
0.1 ","
41.0 ","
349 "
Водоросль порфира,"
5.8 ","
0.3 ","
4.8 ","
35 "
Водоросль спирулина,"
4.2 ","
2.5 ","
9.9 ","
79 "
Водоросль ульва,"
1.9 ","
0.0 ","
3.8 ","
25 "
Водоросль уми будо,"
1.5 ","
0.4 ","
4.8 ","
25 "
Водоросль фукус,"
3.0 ","
0.6 ","
8.6 ","
35 "
Гладкоголов,"
8.0 ","
1.9 ","
0.0 ","
49 "
Голавль,"
17.8 ","
5.6 ","
0.0 ","
127 "
Голец,"
22.4 ","
5.7 ","
0.0 ","
135 "
Горбуша Афанасий горячего копчения рулет,"
21.0 ","
10.0 ","
0.0 ","
174 "
Горбуша горячего копчения,"
23.2 ","
7.6 ","
0.0 ","
161 "
Горбуша жареная в кляре,"
17.1 ","
16.4 ","
15.2 ","
281 "
Горбуша запеченная в шубе,"
13.2 ","
13.1 ","
3.2 ","
184 "
Горбуша маринованная,"
20.9 ","
5.8 ","
0.0 ","
136 "
Горбуша натуральная Балт-Фиш Плюс,"
15.0 ","
1.5 ","
0.0 ","
75 "
Горбуша натуральная Русский рыбный мир,"
21.0 ","
6.0 ","
0.0 ","
138 "
Горбуша отварная,"
22.9 ","
7.8 ","
0.0 ","
168 "
Горбуша Рыбная Миля кусочки холодного копчения косичка,"
24.0 ","
9.0 ","
0.0 ","
177 "
Горбуша свежая,"
20.5 ","
6.5 ","
0.0 ","
142 "
Горбуша солёная,"
22.1 ","
9.0 ","
0.0 ","
169 "
Горбуша солёная 3 Fish кусочки для бутербродов,"
20.0 ","
4.0 ","
0.0 ","
116 "
Горбыль,"
22.5 ","
6.3 ","
0.0 ","
153 "
Групер (мероу),"
24.8 ","
1.3 ","
0.0 ","
118 "
Густера,"
15.1 ","
2.4 ","
0.0 ","
97 "
Дорадо,"
18.0 ","
3.0 ","
0.0 ","
96 "
Ёрш,"
17.5 ","
2.0 ","
0.0 ","
88 "
Желтохвост (лакедра),"
21.0 ","
16.0 ","
0.0 ","
240 "
Желтый полосатик,"
17.5 ","
2.0 ","
0.0 ","
88 "
Желтый полосатик сушеный,"
50.0 ","
7.5 ","
0.0 ","
267 "
Жерех,"
18.8 ","
2.6 ","
0.0 ","
98 "
Зубан,"
18.8 ","
6.3 ","
0.0 ","
131 "
Зубатка жареная,"
22.2 ","
11.5 ","
4.1 ","
209 "
Зубатка запеченная,"
7.4 ","
8.8 ","
6.8 ","
137 "
Зубатка отварная,"
15.5 ","
5.8 ","
0.0 ","
114 "
Зубатка пёстрая,"
19.6 ","
5.3 ","
0.0 ","
126 "
Зубатка полосатая,"
16.0 ","
5.0 ","
0.0 ","
109 "
Икра,"
36.0 ","
10.2 ","
0.0 ","
123 "
Икра Балтийский берег красная имитированная слабосоленая лососевая,"
2.0 ","
9.0 ","
1.0 ","
85 "
Икра Балтийский берег черная имитированная слабосоленая,"
0.0 ","
1.0 ","
1.0 ","
13 "
Икра белужья зернистая,"
27.2 ","
14.2 ","
0.0 ","
237 "
Икра виноградных улиток,"
16.1 ","
1.4 ","
2.0 ","
90 "
Икра горбуши зернистая,"
31.2 ","
11.7 ","
0.0 ","
230 "
Икра жёлтая (частиковая),"
17.5 ","
2.0 ","
0.0 ","
88 "
Икра из морских водорослей Здоровье (красная),"
0.4 ","
2.0 ","
2.5 ","
30 "
Икра из морских водорослей Здоровье (черная),"
0.4 ","
2.5 ","
4.0 ","
40 "
