�������,"���, �","���, �","���, �","���, ����",
Азу,"
11.9 ","
14.2 ","
10.2 ","
214 "
Антрекот,"
27.3 ","
31.2 ","
1.7 ","
396 "
Антрекот из говядины,"
29.6 ","
11.2 ","
0.0 ","
220 "
Антрекот из свинины,"
28.7 ","
9.8 ","
0.0 ","
210 "
Бараний окорок,"
18.0 ","
18.0 ","
0.0 ","
232 "
Бараний рубец,"
11.5 ","
4.0 ","
0.0 ","
82 "
Бараний фарш,"
17.0 ","
23.0 ","
0.0 ","
282 "
Бараний язык,"
12.6 ","
16.1 ","
0.0 ","
195 "
Баранина,"
15.6 ","
16.3 ","
0.0 ","
209 "
Баранина вареная,"
24.6 ","
21.4 ","
0.0 ","
291 "
Баранина жареная,"
20.0 ","
24.0 ","
0.0 ","
320 "
Баранина тушеная,"
20.0 ","
20.9 ","
0.0 ","
268 "
Баранье сердце,"
13.5 ","
2.5 ","
0.0 ","
82 "
Бараньи почки,"
13.6 ","
2.5 ","
0.0 ","
77 "
Бараньи яйца,"
13.0 ","
19.0 ","
0.1 ","
230 "
Баранья лопатка,"
15.6 ","
25.0 ","
0.0 ","
284 "
Баранья печень,"
18.7 ","
2.9 ","
0.0 ","
101 "
Бастурма турецкая,"
14.8 ","
20.1 ","
0.0 ","
240 "
Бекон,"
23.0 ","
45.0 ","
0.0 ","
500 "
Бекон Мираторг Любительский,"
12.0 ","
35.0 ","
0.0 ","
360 "
Бекон сырокопченый Дымов Венгерский,"
10.0 ","
44.0 ","
0.0 ","
436 "
Бефстроганов,"
21.9 ","
27.4 ","
5.7 ","
355 "
Бефстроганов из говядины,"
16.7 ","
11.3 ","
5.9 ","
193 "
Бефстроганов из курицы,"
14.7 ","
2.0 ","
0.4 ","
163 "
Бефстроганов из свинины,"
19.4 ","
7.1 ","
0.0 ","
142 "
Бизонье мясо,"
21.6 ","
1.2 ","
0.0 ","
109 "
Бифштекс,"
27.8 ","
29.6 ","
1.7 ","
384 "
Блюдо армянское Бозбаш 4 сезона,"
3.0 ","
9.5 ","
4.0 ","
126 "
Блюдо болгарское Жаркое по-деревенски 4 сезона,"
3.5 ","
11.1 ","
5.5 ","
137 "
Блюдо греческое Мясо по-македонски 4 сезона,"
5.8 ","
10.1 ","
22.0 ","
206 "
Блюдо грузинское Чахохбили с фасолью 4 сезона,"
6.2 ","
5.5 ","
3.4 ","
87 "
Блюдо индийское Цыплёнок карри 4 сезона,"
6.6 ","
3.2 ","
21.0 ","
142 "
Блюдо испанское Паэлья 4 сезона,"
8.2 ","
3.0 ","
16.3 ","
129 "
Блюдо итальянское Пенне карбонара 4 сезона,"
5.6 ","
11.4 ","
16.4 ","
188 "
Блюдо итальянское Ризотто с морепродуктами 4 сезона,"
6.5 ","
6.4 ","
18.8 ","
163 "
Блюдо китайское Курочка по-пекински 4 сезона,"
5.6 ","
3.3 ","
11.8 ","
102 "
Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,"
4.4 ","
9.4 ","
14.8 ","
153 "
Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,"
6.6 ","
8.5 ","
10.7 ","
127 "
Блюдо мексиканское Чили кон карне 4 сезона,"
6.4 ","
8.8 ","
15.7 ","
160 "
Блюдо наше Макароны по-флотски 4 сезона,"
7.6 ","
9.9 ","
21.2 ","
185 "
Блюдо русское Барашек с гречкой 4 сезона,"
5.9 ","
13.8 ","
17.7 ","
224 "
Блюдо среднеазиатское Лагман 4 сезона,"
4.3 ","
8.9 ","
13.3 ","
158 "
Блюдо тайское Лапша карри 4 сезона,"
5.9 ","
6.4 ","
12.7 ","
128 "
Блюдо узбекское Плов с бараниной 4 сезона,"
4.2 ","
6.0 ","
14.9 ","
150 "
Блюдо французское Шампиньон де пари 4 сезона,"
6.7 ","
9.5 ","
5.1 ","
129 "
Блюдо швейцарское Фондю эменталь 4 сезона,"
7.9 ","
10.2 ","
13.3 ","
175 "
Блюдо японское Сакэна с рисом 4 сезона,"
5.7 ","
2.4 ","
13.6 ","
103 "
Буженина вареная,"
16.4 ","
18.3 ","
1.0 ","
233 "
